iter	Logloss
0	0.6703855937
1	0.6403830114
2	0.6323097744
3	0.6146322914
4	0.595464782
5	0.5844791195
6	0.5728263424
7	0.5565902384
8	0.539591512
9	0.521846917
10	0.5082431691
11	0.4973623084
12	0.4870901585
13	0.4754341843
14	0.4577582729
15	0.4464714923
16	0.4410195069
17	0.4339169053
18	0.4250494823
19	0.413558437
20	0.406171295
21	0.3971128959
22	0.3925811683
23	0.3870967199
24	0.3781029339
25	0.3713419827
26	0.3614603104
27	0.3554992569
28	0.3511633199
29	0.343952813
30	0.3377335091
31	0.3287243074
32	0.3247329942
33	0.3210211887
34	0.312731096
35	0.3069247799
36	0.3004103196
37	0.2926378059
38	0.2876563968
39	0.2807384313
40	0.2746039337
41	0.2712967953
42	0.2662521897
43	0.2592506555
44	0.2556610372
45	0.2519845156
46	0.2481260616
47	0.2436184029
48	0.2412592166
49	0.2356801222
50	0.2307599541
51	0.2256741583
52	0.2235633525
53	0.2190263096
54	0.2155359739
55	0.2123779627
56	0.2095287128
57	0.2061178619
58	0.2009072952
59	0.1964011624
60	0.1931416996
61	0.1909544824
62	0.1868279828
63	0.1826062808
64	0.1792274785
65	0.1761465026
66	0.1707645805
67	0.168177642
68	0.1645352978
69	0.1617652637
70	0.1558902789
71	0.1537702764
72	0.1513830444
73	0.1468858768
74	0.1431163024
75	0.1410067996
76	0.1378282223
77	0.134620993
78	0.1316072369
79	0.1294080116
80	0.1252840873
81	0.1231174486
82	0.1204977712
83	0.1166061684
84	0.1143049168
85	0.113132232
86	0.1111116414
87	0.1084255757
88	0.1065558085
89	0.103733373
90	0.1020657872
91	0.100821173
92	0.09959027555
93	0.09798798055
94	0.0969406355
95	0.09333322715
96	0.09060063115
97	0.0896751992
98	0.08741971897
99	0.08538958336
