iter	Passed	Remaining
0	1	181
1	3	154
2	4	143
3	5	137
4	7	136
5	8	133
6	9	131
7	11	131
8	12	130
9	14	129
10	15	129
11	17	129
12	19	129
13	20	128
14	22	126
15	23	124
16	25	124
17	27	124
18	28	123
19	31	125
20	32	123
21	34	121
22	35	119
23	37	118
24	39	117
25	40	116
26	42	113
27	43	112
28	45	111
29	46	109
30	48	107
31	49	105
32	51	103
33	52	102
34	54	100
35	55	98
36	57	97
37	58	95
38	61	95
39	63	95
40	65	94
41	67	93
42	69	91
43	70	89
44	72	88
45	73	86
46	75	85
47	77	83
48	79	82
49	80	80
50	82	78
51	83	77
52	85	75
53	86	73
54	88	72
55	89	70
56	91	69
57	93	67
58	95	66
59	97	65
60	99	63
61	100	61
62	102	60
63	103	58
64	105	56
65	107	55
66	108	53
67	110	51
68	111	50
69	112	48
70	114	46
71	115	45
72	117	43
73	118	41
74	120	40
75	121	38
76	124	37
77	125	35
78	127	33
79	128	32
80	130	30
81	131	28
82	133	27
83	134	25
84	136	24
85	137	22
86	139	20
87	140	19
88	142	17
89	144	16
90	146	14
91	147	12
92	149	11
93	151	9
94	152	8
95	154	6
96	156	4
97	157	3
98	159	1
99	162	0
